IPO Status,Ticker Code,Company Name,Sector,Subsector,Listing Board,Final Price (Rp),Return D1,Return D2,Return D3,Return D4,Return D5,Return D6,Return D7,Return from Listing Date,Line of Business,Address,Website,Number of shares offered,% of Total Shares,Participant Admin,Underwriter(s),Book Building Opening,Book Building Closing,Lowest Book Building Price (Rp),Highest Book Building Price (Rp),Opening of Offering Period,Closing of Offering Period,Closing Date,Distribution Date,Listing Date,Warrant per share ratio,Exercise Price (Warrant) (Rp)
Closed,BEER,PT Jobubu Jarum Minahasa Tbk,Consumer Staples,Liquors,Pengembangan,Rp 220,0.17272727272727273,0.015503875968992248,-0.007633587786259542,0.007692307692307693,0.04580152671755725,-0.0072992700729927005,0.03676470588235294,-0.12727272727272726,"Industri Minuman Beralkohol Hasil Destilasi, Industri Minuman Beralkohol Hasil Fermentasi Anggur","Desa Kapitu, Kelurahan Kapitu, Kecamatan Amurang Barat, Kabupaten Minahasa Selatan, Provinsi Sulawesi Utara",http://www.jobubu.com/,8.000.000 Lot,20%,AI - KAY HIAN SEKURITAS,AI - KAY HIAN SEKURITAS,2022-12-16,2022-12-22,200,220,2023-01-02,2023-01-04,2023-01-04,2023-01-05,06 Jan 2023,0.0,
Closed,ELIT,PT Data Sinergitama Jaya Tbk,Telecom,IT Services & Consulting,Pengembangan,Rp 120,-0.06666666666666667,0.3482142857142857,0.11920529801324503,-0.011834319526627219,0.011976047904191617,-0.0650887573964497,-0.06962025316455696,-0.11666666666666667,Bidang Usaha Penyedia Layanan (managed service) di Bidang Teknologi Informasi (Cloud),"The Manhattan Squre Tower B Lt. 22, Jl. TB Simatupang, RT.3/RW.3, Cilandak Timur, Pasar Minggu, Jakarta Selatan,12560 Telepon: 0217511004",https://www.elitery.com,5.000.000 Lot,24.61%,XA - NH KORINDO SEKURITAS INDONESIA,XA - NH KORINDO SEKURITAS INDONESIA,2022-12-16,2022-12-22,120,150,2023-01-02,2023-01-04,2023-01-04,2023-01-05,06 Jan 2023,0.5,Rp 150
Closed,CBPE,PT Citra Buana Prasida Tbk,Technology,Real Estate Development & Management,Pengembangan,Rp 150,-0.006666666666666667,-0.006711409395973154,0.02702702702702703,0.2631578947368421,-0.06770833333333333,-0.0670391061452514,-0.0658682634730539,0.30666666666666664,Bergerak di bidang real estat dan property,"Komplek Paskal Hyper Square Blok G Lantai 2 No. 206 – 208, Jl. H.O.S. Cokroaminoto No. 25 – 27 (dh. Jl. Pasirkaliki No. 25 – 27), Bandung 40181, Tel.: (022) 8606 1108",https://www.citrabuanaprasida.co.id,2.712.500 Lot,20%,GR - PANIN SEKURITAS TBK.,GR - PANIN SEKURITAS TBK.,2022-12-19,2022-12-23,100,150,2023-01-02,2023-01-04,2023-01-04,2023-01-05,06 Jan 2023,0.0,
Closed,SOUL,PT Mitra Tirta Buwana Tbk,Consumer Staples,Food Retail & Distributors,Akselerasi,Rp 110,-0.1,-0.09090909090909091,-0.1,-0.09876543209876543,-0.0410958904109589,-0.1,-0.09523809523809523,-0.8363636363636363,Bergerak dalam bidang usaha Air Minum Dalam Kemasan,"Jl. Waru No. 74 Sambilegi Baru RT.001 RW.003 Maguwoharjo, Depok, Sleman Yogyakarta - Indonesia, 55282",http://hexsoul.co.id/,2.700.000 Lot,24.94%,AN - WANTEG SEKURITAS,AN - WANTEG SEKURITASAH - SHINHAN SEKURITAS INDONESIA,2022-12-19,2022-12-26,100,110,2023-01-02,2023-01-04,2023-01-04,2023-01-05,06 Jan 2023,0.25,Rp 100
Closed,VTNY,PT Venteny Fortuna International Tbk,Industrials,Consumer Financing,Utama,Rp 360,0.1,-0.045454545454545456,0.0,0.031746031746031744,0.03076923076923077,0.014925373134328358,-0.0196078431372549,-0.6416666666666667,Aktivitas Perusahaan Holding dan Aktivitas Pengembangan Aplikasi Perdagangan Melalui Internet,"World Trade Centre (WTC) 5 Lantai 13, Jl. Jend. Sudirman Kav. 29-31, Jakarta Selatan, 12920",https://www.venteny.com,9.397.791 Lot,15%,SF - SURYA FAJAR SEKURITAS,SF - SURYA FAJAR SEKURITASCD - MEGA CAPITAL SEKURITASOD - BRI DANAREKSA SEKURITASYP - MIRAE ASSET SEKURITAS INDONESIA,2022-11-21,2022-11-29,350,450,2022-12-09,2022-12-13,2022-12-13,2022-12-14,15 Dec 2022,0.0,
Closed,ISAP,PT Isra Presisi Indonesia Tbk,Energy,Auto Parts & Equipment,Akselerasi,Rp 96,-0.09375,-0.09195402298850575,-0.08860759493670886,-0.09722222222222222,0.09230769230769231,0.09859154929577464,0.08974358974358974,-0.90625,Industri Mesin dan Perkakas Mesin untuk Pengerjaan Logam,"Kawasan Industri Delta Silicon III Lippo Cikarang Bekasi Jawa Barat, 17530",https://www.isra.co.id/en,15.000.000 Lot,37.31%,AI - KAY HIAN SEKURITAS,AI - KAY HIAN SEKURITAS,2022-11-07,2022-11-14,95,100,2022-12-01,2022-12-07,2022-12-07,2022-12-08,09 Dec 2022,0.5,Rp 125
Closed,PADA,PT Personel Alih Daya Tbk,Consumer Discretionary,Human Resource & Employment Services,Pemantauan Khusus,Rp 100,0.1,-0.05454545454545454,-0.028846153846153848,-0.039603960396039604,0.13402061855670103,-0.02727272727272727,-0.009345794392523364,-0.86,"Jasa Teknikal dan Pemeliharaan Peralatan Telekomunikasi, Call Center, Perkantoran, Keamanan dan SDM","Jl. Kebagusan 1 No. 4, Kebagusan, Pasar Minggu, Jakarta Selatan, Kode Pos 12520, Indonesia",https://www.persada.id,9.000.000 Lot,28.57%,AI - KAY HIAN SEKURITAS,AI - KAY HIAN SEKURITASAO - ERDIKHA ELIT SEKURITAS,2022-11-16,2022-11-22,100,120,2022-12-02,2022-12-06,2022-12-06,2022-12-07,08 Dec 2022,0.0,
Closed,MMIX,PT Multi Medika Internasional Tbk,Consumer Staples,Household Products,Pengembangan,Rp 190,0.3473684210526316,-0.0625,-0.06666666666666667,0.05357142857142857,0.025423728813559324,-0.01652892561983471,0.07563025210084033,-0.6210526315789474,"Perdagangan Besar Alat Laboratorium, Alat Farmasi dan Alat Kedokteran Untuk Manusia, dan Sewa Guna U","PT. Multi Medika Internasional Tbk Jl. Peternakan III No.55B, Kelurahan Kapuk, Kecamatan Cengkareng, Jakarta Barat – DKI Jakarta, Kode Pos 11720",https://www.multimed.co.id/,6.000.000 Lot,25%,YP - MIRAE ASSET SEKURITAS INDONESIA,YP - MIRAE ASSET SEKURITAS INDONESIA,2022-11-15,2022-11-22,160,210,2022-11-30,2022-12-02,2022-12-02,2022-12-05,06 Dec 2022,0.5,Rp 300
Closed,NINE,PT Techno9 Indonesia Tbk,Telecom,IT Services & Consulting,Akselerasi,Rp 75,-0.08,-0.08695652173913043,-0.09523809523809523,-0.08771929824561403,-0.09615384615384616,-0.0851063829787234,-0.09302325581395349,-0.8933333333333333,Bergerak di bidang perdagangan komputer dan perlengkapannya,Komplek Taman Semanan Indah Ruko Plaza Delumina Blok C No. 1 Duri Kosambi – Cengkareng Jakarta Barat 11750,https://www.techno9indonesia.com/,4.320.000 Lot,20.03%,SA - ELIT SUKSES SEKURITAS,SA - ELIT SUKSES SEKURITASMI - VICTORIA SEKURITAS INDONESIA,2022-11-14,2022-11-17,70,90,2022-11-28,2022-12-01,2022-12-01,2022-12-02,05 Dec 2022,0.0,
Closed,ZATA,PT Bersama Zatta Jaya Tbk,Energy,"Clothing, Accessories & Bags",Pemantauan Khusus,Rp 100,0.35,0.34814814814814815,0.34065934065934067,0.23770491803278687,-0.06622516556291391,-0.06382978723404255,-0.06818181818181818,-0.91,Company Overview,"Komplek Industri Prapanca No.24, Cigondewah Kaler Kec. Bandung Kulon, Kota Bandung - Jawa Barat 40214",https://www.elcorps.com/,17.000.000 Lot,20.01%,AI - KAY HIAN SEKURITAS,AI - KAY HIAN SEKURITAS,2022-10-20,2022-10-26,100,130,2022-11-02,2022-11-08,2022-11-08,2022-11-09,10 Nov 2022,0.0,
Closed,KETR,PT Ketrosden Triasmitra Tbk,Materials,Wired Telecommunication Service,Pengembangan,Rp 300,0.06666666666666667,-0.06875,-0.013422818791946308,0.0,-0.04081632653061224,-0.04964539007092199,-0.06716417910447761,-0.32666666666666666,"Pembangunan, penjualan dan pemeliharaan jaringan telekomunikasi kabel serat optik","Gedung Meta Epsi Lantai 2 Jl. Mayjend D.I. Panjaitan Kav. 2, Jakarta Timur",https://www.triasmitra.com/,4.262.000 Lot,15%,AH - SHINHAN SEKURITAS INDONESIA,AH - SHINHAN SEKURITAS INDONESIA,2022-10-20,2022-10-26,246,360,2022-11-02,2022-11-08,2022-11-08,2022-11-09,10 Nov 2022,0.0,
Closed,PDPP,PT Primadaya Plastisindo Tbk,Utilities,Containers & Packaging,Pengembangan,Rp 200,0.09624061584472657,-0.0666666898653283,-0.06349204573798528,-0.06779658992647657,0.05454541572124873,-0.060344840852683185,-0.018348640459946473,1.8,Industri Barang Dari Plastik Untuk Pengemasan,"Jl. Raya Narogong KM. 18 Cileungsi Bogor, Jawa Barat 16829",https://www.pt-pdp.com,5.000.000 Lot,20%,MG - SEMESTA INDOVEST SEKURITAS,MG - SEMESTA INDOVEST SEKURITAS,2022-10-13,2022-10-20,195,200,2022-11-03,2022-11-07,2022-11-07,2022-11-08,09 Nov 2022,0.0,
Closed,KDTN,PT Puri Sentul Permai Tbk,Energy,"Hotels, Resorts & Cruise Lines",Pengembangan,Rp 150,0.26,-0.06878306878306878,-0.06818181818181818,0.006097560975609756,-0.030303030303030304,-0.04375,0.0,-0.18,"Bergerak dibidang jasa penyedia akomodasi berupa hotel, jasa penyediaan makan minum berupa restoran","Jl. Surya Raya, Kav. Commercial Area 1 Olympic CBD Sentul, Desa Sentul Kecamatan Babakan Madang, Kabupaten Bogor 16810",https://kedaton8.com/,2.500.000 Lot,20%,MI - VICTORIA SEKURITAS INDONESIA,MI - VICTORIA SEKURITAS INDONESIA,2022-10-20,2022-10-26,140,160,2022-11-01,2022-11-07,2022-11-07,2022-11-08,09 Nov 2022,0.2,Rp 180
Closed,MKTR,PT Menthobi Karyatama Raya Tbk,Consumer Staples,Plantations & Crops,Utama,Rp 120,0.08333333333333333,-0.023076923076923078,-0.023622047244094488,0.016129032258064516,0.03968253968253968,0.015267175572519083,-0.015037593984962405,-0.008333333333333333,Bergerak dalam bidang perkebunan dan pabrik kelapa sawit,"Gedung Wisma Maktour Lt.4, Jalan Otto Iskandardinata No. 80 Jakarta Timur 13330",https://mktr.co.id/,25.000.000 Lot,20.83%,II - DANATAMA MAKMUR SEKURITAS,II - DANATAMA MAKMUR SEKURITASAN - WANTEG SEKURITASCP - KB VALBURY SEKURITAS,2022-10-17,2022-10-24,100,150,2022-11-01,2022-11-04,2022-11-04,2022-11-07,08 Nov 2022,1.0,Rp 150
Closed,OMED,PT Jayamas Medica Industri Tbk,Healthcare,Healthcare Supplies & Distributions,Utama,Rp 204,0.23529411764705882,0.0,-0.023809523809523808,0.024390243902439025,0.023809523809523808,0.023255813953488372,-0.007575757575757576,-0.14215686274509803,Bergerak di bidang usaha manufaktur alat kesehatan dan perbekalan kesehatan rumah tangga lainnya,"Sebelah Selatan Jalan By Pass RT 05 / RW 01 Kelurahan Sidomojo, Kecamatan Krian, Sidoarjo 61262, Jawa Timur",https://www.onemed.co.id,40.588.500 Lot,15%,KI - CIPTADANA SEKURITAS ASIA,KI - CIPTADANA SEKURITAS ASIAC3 - PT CIMB Niaga SekuritasKZ - CLSA SEKURITAS INDONESIA,2022-10-06,2022-10-19,204,310,2022-11-02,2022-11-04,2022-11-04,2022-11-07,08 Nov 2022,0.0,
Closed,BELI,PT Global Digital Niaga Tbk,Telecom,Online Applications & Services,Ekonomi Baru,Rp 450,0.0,0.013333333333333334,-0.013157894736842105,0.07555555555555556,-0.02066115702479339,-0.004219409282700422,0.03389830508474576,0.0,"Perdagangan eceran melalui media untuk barang campuran, aktivitas pengembangan aplikasi perdagangan","Jl. Jendral Ahmad Yani No. 34, Kel. Panjunan, Kec. Kota Kudus, Kab. Kudus 59317, Jawa Tengah",https://www.blibli.com,177.712.059 Lot,15%,OD - BRI DANAREKSA SEKURITAS,OD - BRI DANAREKSA SEKURITASS0 - PT Morgan Stanley Sekuritas IndonesiaSQ - BCA SEKURITASCS - CREDIT SUISSE SEKURITAS INDONESIANI - BNI SEKURITASDP - DBS VICKERS SEKURITAS INDONESIARS - YULIE SEKURITAS INDONESIA TBK.CC - MANDIRI SEKURITASPF - DANASAKTI SEKURITAS INDONESIAPD - INDO PREMIER SEKURITASCP - KB VALBURY SEKURITAS,2022-10-17,2022-10-24,410,460,2022-11-02,2022-11-04,2022-11-04,2022-11-07,08 Nov 2022,0.0,
Closed,CBUT,PT Citra Borneo Utama Tbk,Consumer Staples,Plantations & Crops,Utama,Rp 690,0.2463768115942029,0.08139534883720931,-0.010752688172043012,-0.06521739130434782,-0.029069767441860465,-0.03592814371257485,-0.006211180124223602,0.8405797101449275,"bidang industri pemurnian, pemisahan/fraksinasi dan perdagangan produk kelapa sawit dan turunannya","Jalan Haji Udan Said No.47, Kabupaten Kotawaringin Barat, Pangkalan Bun, 74115",http://www.citraborneoutama.co.id/,6.250.000 Lot,20%,YP - MIRAE ASSET SEKURITAS INDONESIA,YP - MIRAE ASSET SEKURITAS INDONESIAAI - KAY HIAN SEKURITASZP - MAYBANK SEKURITAS INDONESIAOD - BRI DANAREKSA SEKURITAS,2022-10-13,2022-10-19,690,1280,2022-11-02,2022-11-04,2022-11-04,2022-11-07,08 Nov 2022,0.0,
Closed,PRAY,PT Famon Awal Bros Sedaya Tbk,Healthcare,Healthcare Providers,Pengembangan,Rp 900,-0.011111111111111112,-0.05056179775280899,-0.0650887573964497,-0.06962025316455696,0.027210884353741496,0.013245033112582781,-0.013071895424836602,-0.3111111111111111,Bergerak di bidang aktivitas perusahaan holding dan jasa pelayanan kesehatan melalui Perusahaan Anak,"Ruko Mega Grosir Cempaka Mas Blok N/21 Sumur Batu, Kemayoran, Jakarta",https://primayahospital.com/,3.022.223 Lot,2.17%,PD - INDO PREMIER SEKURITAS,PD - INDO PREMIER SEKURITAS,2022-10-14,2022-10-21,900,950,2022-11-01,2022-11-04,2022-11-04,2022-11-07,08 Nov 2022,0.0,
Closed,BSBK,PT Wulandari Bangun Laksana Tbk,Technology,Real Estate Development & Management,Utama,Rp 100,0.35,0.34814814814814815,0.32967032967032966,0.19834710743801653,-0.06896551724137931,-0.06666666666666667,-0.06349206349206349,-0.41,Bergerak dalam bidang property dan real estate,"Jl. Jend. Sudirman Nomor 47 Tower G Komplek Balikpapan Superblock Stall Kuda, Kelurahan Damai Bahagia, Kec. Balikpapan Selatan, Kota Balikpapan, Provinsi Kalimantan Timur, 76114",https://www.balikpapansuperblock.com,27.500.000 Lot,12.09%,SH - ARTHA SEKURITAS INDONESIA,SH - ARTHA SEKURITAS INDONESIAHD - KGI SEKURITAS INDONESIAPG - PANCA GLOBAL SEKURITASFS - YUANTA SEKURITAS INDONESIA,2022-10-10,2022-10-17,100,120,2022-11-02,2022-11-04,2022-11-04,2022-11-07,08 Nov 2022,1.37,Rp 125
Closed,COAL,PT Black Diamond Resources Tbk,Financials,Coal Production,Pemantauan Khusus,Rp 100,0.35,0.34814814814814815,0.34065934065934067,0.2459016393442623,0.25,0.23684210526315788,-0.06808510638297872,-0.67,Pertambangan Batubara Melalui Entitas Anak,"Gedung Centennial Tower Lt 21 Unit H , Jl. Jenderal Gatot Subroto No. 24-25, Jakarta Selatan 12930",https://blackdiamondtbk.com/,12.500.000 Lot,20%,SF - SURYA FAJAR SEKURITAS,SF - SURYA FAJAR SEKURITAS,2022-08-12,2022-08-22,100,130,2022-09-01,2022-09-05,2022-09-05,2022-09-06,07 Sep 2022,0.0,
Closed,MEDS,PT Hetzer Medical Indonesia Tbk,Healthcare,Healthcare Supplies & Distributions,Pengembangan,Rp 125,0.344,0.10714285714285714,0.03225806451612903,0.34375,0.10077519379844961,0.20422535211267606,0.24561403508771928,-0.6,Industri Peralatan Kesehatan dan Turunannya,"Jl. Mahar Martanegara No. 106, Kel. Cigugur Tengah Kec. Cimahi Tengah, Kota Cimahi, Provinsi Jawa Barat 40522",https://www.evoplusmed.com,3.125.000 Lot,20%,AN - WANTEG SEKURITAS,AN - WANTEG SEKURITAS,2022-07-21,2022-07-26,125,175,2022-08-02,2022-08-08,2022-08-08,2022-08-09,10 Aug 2022,0.0,
Closed,CRAB,PT Toba Surimi Industries Tbk,Consumer Staples,Processed Foods,Pengembangan,Rp 150,0.3466666666666667,0.0594059405940594,0.0,0.009345794392523364,0.08333333333333333,0.1623931623931624,0.14705882352941177,0.72,"Industri Pembekuan, Pengolahan, Pengawetan, Perdagangan Besar Makanan &Minuman serta Hasil Perikanan","Jl. Pulau Pinang 2, Kawasan Industri Medan II Saentis Deli Serdang, 20371 Sumatera Utara, Indonesia",https://www.tobasurimi.com/,3.900.000 Lot,20%,HD - KGI SEKURITAS INDONESIA,HD - KGI SEKURITAS INDONESIA,2022-07-20,2022-07-25,100,150,2022-08-02,2022-08-08,2022-08-08,2022-08-09,10 Aug 2022,0.0,
Closed,KLIN,PT Klinko Karya Imaji Tbk,Energy,Home Improvement Retail,Akselerasi,Rp 100,-0.1,-0.1,-0.037037037037037035,-0.01282051282051282,-0.03896103896103896,-0.013513513513513514,0.0136986301369863,-0.67,Bergerak di Bidang Produksi dan Perdagangan Produk Alat-Alat Kebersihan yang Ramah Lingkungan,"Jl. Raya Driyorejo Km 25, Desa/Kelurahan Driyorejo, Kec. Driyorejo, Kab. Gresik, Jawa Timur 61177, Indonesia",https://www.klinko.id/,2.300.000 Lot,17.59%,SA - ELIT SUKSES SEKURITAS,SA - ELIT SUKSES SEKURITAS,2022-07-20,2022-07-25,90,100,2022-08-02,2022-08-05,2022-08-05,2022-08-08,09 Aug 2022,0.25,Rp 100
Closed,TOOL,PT Rohartindo Nusantara Luas Tbk,Energy,Household Appliances,Pengembangan,Rp 127,0.3464566929133858,-0.06432748538011696,-0.06875,-0.06711409395973154,-0.007194244604316547,-0.014492753623188406,0.0,-0.5748031496062992,bergerak dalam bidang usaha Perdagangan besar,"Jalan Raya Perancis, Pergudangan Kosambi Permai, Blok J No. 32, Kabupaten Tangerang, Provinsi Banten",http://www.nankai.co.id/,4.100.000 Lot,20%,YP - MIRAE ASSET SEKURITAS INDONESIA,YP - MIRAE ASSET SEKURITAS INDONESIA,2022-07-19,2022-07-26,122,135,2022-08-02,2022-08-05,2022-08-05,2022-08-08,09 Aug 2022,0.5,Rp 500
Closed,BUAH,PT Segar Kumala Indonesia Tbk,Consumer Staples,Food Retail & Distributors,Pengembangan,Rp 388,0.24742268041237114,-0.01652892561983471,-0.058823529411764705,0.022321428571428572,0.017467248908296942,-0.008583690987124463,0.13636363636363635,2.6469072164948453,Bergerak di bidang Perdagangan Besar Buah-buahan dan Daging Unggas Beku,"Jl. Pegangsaan Dua KM. 4 No.89. Pegangsaan Dua, Kelapa Gading, Jakarta Utara. 14250",https://sk-indonesia.com/,2.000.000 Lot,20%,LS - RELIANCE SEKURITAS INDONESIA TBK.,LS - RELIANCE SEKURITAS INDONESIA TBK.,2022-07-20,2022-07-26,350,400,2022-08-02,2022-08-05,2022-08-05,2022-08-08,09 Aug 2022,0.0,
Closed,KKES,PT Kusuma Kemindo Sentosa Tbk,Utilities,Basic Chemicals,Pemantauan Khusus,Rp 105,0.20952380952380953,-0.06299212598425197,-0.025210084033613446,0.02586206896551724,0.0,0.025210084033613446,0.040983606557377046,-0.7523809523809524,Perdagangan Besar Bahan dan Barang Kimia,"Green Ville Maisonette Blok FA / 12A, Jakarta Barat, DKI Jakarta, 11510 - Indonesia",https://kks-chemicals.com,3.000.000 Lot,20%,YP - MIRAE ASSET SEKURITAS INDONESIA,YP - MIRAE ASSET SEKURITAS INDONESIA,2022-07-19,2022-07-27,100,130,2022-08-02,2022-08-04,2022-08-04,2022-08-05,08 Aug 2022,0.0,
Closed,MORA,PT Mora Telematika Indonesia Tbk,Materials,Wired Telecommunication Service,,Rp 396,0.2474747474747475,0.24493927125506074,-0.06504065040650407,0.02608695652173913,-0.01694915254237288,-0.017241379310344827,-0.008771929824561403,0.1111111111111111,"Aktivitas telekomunikasi dengan kabel, internet service provider & jasa interkoneksi internet (NAP)","Grha 9, Lantai 6, Jl. Panataran No. 9, Proklamasi, Jakarta 10320 Indonesia",https://www.moratelindo.co.id,25.254.643 Lot,10.68%,AZ - SUCOR SEKURITAS,AZ - SUCOR SEKURITASNI - BNI SEKURITAS,2022-07-12,2022-07-18,368,396,2022-08-02,2022-08-04,2022-08-04,2022-08-05,08 Aug 2022,0.0,
Closed,EURO,PT Estee Gold Feet Tbk,Consumer Staples,Personal Care Products,Akselerasi,Rp 70,0.0,-0.014285714285714285,0.014492753623188406,0.0,0.0,0.0,0.0,2.4571428571428573,Industri pengisian jasa aerosol kosmetik dan bahan pembersih keperluan rumah tangga,"Jl. Kapuk Utara II No.2, RT.1/RW.3, Kapuk Muara, Penjaringan Jakarta Utara, 14460, Indonesia",https://esteegoldaerosol.com/,5.000.000 Lot,20%,II - DANATAMA MAKMUR SEKURITAS,II - DANATAMA MAKMUR SEKURITAS,2022-07-20,2022-07-28,60,70,2022-08-01,2022-08-04,2022-08-04,2022-08-05,08 Aug 2022,0.1,Rp 100
Closed,ELPI,PT Pelayaran Nasional Ekalya Purnamasari Tbk,Real Estate,Logistics & Deliveries,Utama,Rp 200,0.35,0.24444444444444444,-0.06547619047619048,-0.06369426751592357,-0.06802721088435375,-0.014598540145985401,0.022222222222222223,0.92,Bergerak dalam bidang angkutan laut dan aktivitas penunjang angkutan,"Graha KCT Lt. 3 Jl. W.R. Supratman No.23 Surabaya, Jawa Timur- Indonesia",https://www.pnep.co.id,11.120.000 Lot,15%,LG - TRIMEGAH SEKURITAS INDONESIA TBK.,LG - TRIMEGAH SEKURITAS INDONESIA TBK.,2022-07-14,2022-07-21,190,240,2022-08-02,2022-08-04,2022-08-04,2022-08-05,08 Aug 2022,0.0,
Closed,RAFI,PT Sari Kreasi Boga Tbk,Consumer Staples,Food Retail & Distributors,Pemantauan Khusus,Rp 126,0.3492063492063492,-0.06470588235294118,-0.050314465408805034,0.11258278145695365,0.041666666666666664,0.09714285714285714,0.34375,-0.7936507936507936,Perseroan bergerak di bidang penjualan bahan baku dan waralaba makanan dan minuman.,"Tower A lt.3, Jl. Ampera Raya RW2, Ragunan, Kec. Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12540",https://skbfood.id/,9.480.900 Lot,30.31%,IN - INVESTINDO NUSANTARA SEKURITAS,IN - INVESTINDO NUSANTARA SEKURITASCP - KB VALBURY SEKURITAS,2022-07-18,2022-07-22,120,130,2022-08-01,2022-08-03,2022-08-03,2022-08-04,05 Aug 2022,0.5,Rp 158
Closed,AMMS,PT Agung Menjangan Mas Tbk,Consumer Staples,"Fish, Meat, & Poultry",Akselerasi,Rp 100,0.05,-0.05714285714285714,-0.04040404040404041,0.06315789473684211,0.06930693069306931,0.07407407407407407,-0.09482758620689655,-0.75,Menjalankan usaha dalam bidang jasa sarana produksi dan jasa pasca panen budidaya ikan air payau,"Generali Tower Grand Rubina Business Park Lt.20 C Jl. H.R. Rasuna Said, Kuningan, Jakarta Selatan 12940",https://agungmm.com/,2.400.000 Lot,20%,IU - INDO CAPITAL SEKURITAS,IU - INDO CAPITAL SEKURITAS,2022-07-07,2022-07-13,100,150,2022-07-29,2022-08-02,2022-08-02,2022-08-03,04 Aug 2022,1.4,Rp 100
Closed,JARR,PT Jhonlin Agro Raya Tbk,Consumer Staples,Plantations & Crops,Utama,Rp 300,0.24666666666666667,0.24598930481283424,0.2446351931330472,-0.06896551724137931,-0.06481481481481481,-0.06930693069306931,-0.06808510638297872,-0.11333333333333333,Perkebunan dan Pengolahan Minyak Kelapa Sawit Terpadu,"Kantor: Jl. Kodeco KM 1, Kel. Gunung Antasari, Kec. Simpang Empat, Kab. Tanah Bumbu, Kalimatan Selatan 72213 Operasional: Pabrik Refinery dan Pabrik Biodiesel di Desa Batu Ampar, Kec. Simpang Empat, Kab. Tanah Bumbu, Kalimantan Selatan",https://www.ptjar.com,12.229.500 Lot,15.29%,IN - INVESTINDO NUSANTARA SEKURITAS,IN - INVESTINDO NUSANTARA SEKURITASPG - PANCA GLOBAL SEKURITASYJ - LOTUS ANDALAN SEKURITASAR - BINAARTHA SEKURITAS,2022-07-12,2022-07-15,250,300,2022-07-29,2022-08-02,2022-08-02,2022-08-03,04 Aug 2022,0.0,
Closed,GULA,PT Aman Agrindo Tbk,Consumer Staples,Processed Foods,Pengembangan,Rp 250,0.016,-0.06299212598425197,-0.03361344537815126,0.043478260869565216,-0.05,-0.008771929824561403,-0.05309734513274336,0.784,"Bergerak di bidang perkebunan tebu, perdagangan gula dan industri gula","Jl.MT. Haryono 864-866 Ruko Bangkong Plaza C-10, Kelurahan Peterongan, Kecamatan Semarang Selatan, Kota Semarang, Provinsi Jawa Tengah, 50242",https://www.amanagrindo.co.id/,2.140.725 Lot,20%,AI - KAY HIAN SEKURITAS,AI - KAY HIAN SEKURITAS,2022-06-23,2022-07-15,250,300,2022-07-28,2022-08-01,2022-08-01,2022-08-02,03 Aug 2022,0.0,
Closed,RCCC,PT Utama Radar Cahaya Tbk,Real Estate,Logistics & Deliveries,Akselerasi,Rp 135,-0.13932981137876158,0.024590201609816013,0.015999938476564377,0.023622083998014316,0.09999998767559352,0.08391610036951933,0.07741936884313405,0.7925925925925926,Bergerak di Bidang Jasa Pengurusan Transportasi (Freight Forwarding),"Kantor Pusat: Gedung STC Senayan, Lantai 2, Ruang 38, Jl. Asia Afrika Pintu IX, Gelora, Tanah Abang Jakarta Pusat 10270, Indonesia Garasi dan Bengkel: Jl. Curug Dengdeng, Desa Lulut, Kec. Klapanunggal, Cileungsi, Kab. Bogor, Jawa Barat, Indonesia",https://www.utamaradarcahaya.com,1.500.000 Lot,20%,SA - ELIT SUKSES SEKURITAS,SA - ELIT SUKSES SEKURITAS,2022-07-08,2022-07-12,110,150,2022-07-27,2022-07-29,2022-07-29,2022-08-01,02 Aug 2022,0.0,
Closed,HATM,PT HABCO TRANS MARITIMA TBK,Real Estate,Logistics & Deliveries,Utama,Rp 160,0.01875,0.0736196319018405,0.09714285714285714,-0.026041666666666668,0.0053475935828877,0.03723404255319149,0.035897435897435895,0.6875,Pengangkutan dengan Kegiatan Usaha Angkutan Laut Dalam Negeri untuk Barang Khusus,"Jalan H. Imam Munandar No. 247 F-G, Kel Tangkerang Utara, Kec Bukit Raya, Pekanbaru, Riau 28282",https://habcomaritima.com/,11.187.500 Lot,16.65%,XA - NH KORINDO SEKURITAS INDONESIA,XA - NH KORINDO SEKURITAS INDONESIA,2022-06-29,2022-07-01,150,250,2022-07-20,2022-07-22,2022-07-22,2022-07-25,26 Jul 2022,0.0,
Closed,KRYA,PT Bangun Karya Perkasa Jaya Tbk.,Materials,Heavy Constructions & Civil Engineering,Pengembangan,Rp 125,-0.128,-0.06422018348623854,0.049019607843137254,-0.04672897196261682,-0.0196078431372549,-0.05,-0.031578947368421054,-0.544,Bergerak dalam bidang konstruksi umum dan konstruksi baja,"Jl. Pattimura Plaza Segi Delapan C 851-852, Sonokwijenan, Sukomanunggal, Surabaya, Indonesia 60189",https://www.ptbkpjaya.com/,3.250.000 Lot,20%,IU - INDO CAPITAL SEKURITAS,IU - INDO CAPITAL SEKURITAS,2022-06-30,2022-07-06,120,130,2022-07-19,2022-07-21,2022-07-21,2022-07-22,25 Jul 2022,0.5,Rp 156
